# ФОРМЫ ВОПРОСА СВОДА И ТО, ЧИТАЕТ ЛИ ИХ КТО-НИБУДЬ (06.09)
#
# СЛОВА ВОПРОСА НЕ ЧИТАЕТ НИКТО — не в одном суде, а в корпусе вообще.
# Порченый вопрос («кратн ли 7 числу 3?») остаётся вопросной половиной
# объявленной пары и покрыт правилом (б) закона покрытия; пара проверяет
# ВЕЛИЧИНЫ вопроса и их порядок, а слова — нет.
#
#     ЗАКОН ПАРЫ ЧИТАЕТ ВЕЛИЧИНЫ, И ПОТОМУ ОН СЛЕП НА ВОПРОС О СВОЙСТВЕ.
#     «чётно ли 32?» и «чётн ли 32?» несут одни и те же величины в одном
#     порядке — пара их не различает, а иного читателя у вопроса нет.
#
# ЧИТАЕТСЯ ли форма — проверено ПОРЧЕЙ первого слова вопроса в три буквы:
# если вердикт СТРОКИ дрогнул (ложь или немота), слова читал кто-то.
# Выборка: 40 строк на мир.
форма	миры	строк	читается	пример
во сколько раз # больше #?	compare_mult,ru_compare	11	да	во сколько раз 81 больше 9?
на сколько # больше #?	numberline,ru_compare	10	да	на сколько 16 больше 14?
если # чётно, чётно ли #?	proof	9	НЕТ	если 6 чётно, чётно ли 37?
ich denke, jede durch # teilbare {Носитель} ist durch # teilbar. wie lässt sich das prüfen?	hypo	7	да	ich denke, jede durch 6 teilbare Zahl ist durch 3 teilbar. wie lässt sich das prüfen?
сколько будет #% от #?	notation,percent	7	да	сколько будет 40% от 35?
чему равна площадь прямоугольника # на #?	formulas,geometry	7	да	чему равна площадь прямоугольника 4 на 7?
does pressure = force ÷ area give a whole number for # and #?	physlaws	6	да	does pressure = force ÷ area give a whole number for 57 and 7?
myślę, że każda liczba dzieląca się przez # dzieli się przez #. jak to sprawdzić?	hypo	6	да	myślę, że każda liczba dzieląca się przez 5 dzieli się przez 10. jak to sprawdzić?
penso que todo número divisível por # é divisível por #. como se pode verificar?	hypo	6	да	penso que todo número divisível por 15 é divisível por 5. como se pode verificar?
сколько будет # разделить на #?	remainders	6	да	сколько будет 39 разделить на 8?
чему равно # − #?	ruler_dense,school_biling_v2c	6	да	чему равно 15 − 9?
# {Носитель} {Носитель} — wie viel ist das in {Носитель}?	tempscale	5	да	35 Grad Celsius — wie viel ist das in Fahrenheit?
# градусов по {Носитель} — сколько это по {Носитель}?	tempscale	5	да	86 градусов по Фаренгейту — сколько это по Цельсию?
if # is even, is # even?	proof	5	НЕТ	if 6 is even, is 37 even?
je pense que tout nombre divisible par # est divisible par #. comment le vérifier ?	hypo	5	да	je pense que tout nombre divisible par 6 est divisible par 3. comment le vérifier ?
there are # insects in a box, beetles and spiders. a beetle has # legs and a spider has # legs. there are # legs in all. how many beetles are there?	two_kinds	5	да	there are 32 insects in a box, beetles and spiders. a beetle has 6 legs and a spider has 8 legs. there are 222
what does add(# #) give?	eng_proof	5	да	what does add(2 1) give?
what is # + #?	genesis_bignum,ruler_dense,school_biling_v2c	5	да	what is 0 + 15?
what is # − #?	genesis_bignum,school_biling_v2c	5	да	what is 19 − 16?
what is the area of a rectangle # by #?	geometry	5	да	what is the area of a rectangle 2 by 7?
wie lautet # gerundet auf {Носитель}?	roundforms	5	да	wie lautet 741 gerundet auf Hunderter?
{Носитель} baked # cookies. {Носитель} sold # cookie away. how many cookies does {Носитель} keep?	realverbs	5	да	Carlos baked 11 cookies. Carlos sold 1 cookie away. how many cookies does Carlos keep?
{Носитель} had # coins. {Носитель} got # coins. how many coins does {Носитель} have now?	heads	5	да	Peter had 7 coins. Peter got 4 coins. how many coins does Peter have now?
{Носитель} s ducks lay # eggs. {Носитель} s ducks lay # eggs more. how many eggs do the ducks hold now?	gsmwide	5	да	Felix s ducks lay 3 eggs. Felix s ducks lay 2 eggs more. how many eggs do the ducks hold now?
{Носитель} wrote # pages. {Носитель} added # page more. how many pages does {Носитель} hold now?	realverbs	5	да	Sara wrote 12 pages. Sara added 1 page more. how many pages does Sara hold now?
{Носитель} wrote # pages. {Носитель} added # pages more. how many pages does {Носитель} hold now?	realverbs	5	да	Sara wrote 8 pages. Sara added 3 pages more. how many pages does Sara hold now?
вычисли # + #	genesis_bignum,school_biling_v2c	5	да	вычисли 5 + 14
жизнеспособность была # из #, стала # из # — рост или убыль?	valence	5	НЕТ	жизнеспособность была 6 из 7, стала 7 из 7 — рост или убыль?
как ещё пишется «z^# + # z + # = #»?	notationvar	5	да	как ещё пишется «z^2 + 28 z + 3 = 0»?
скажи, простое ли #	inquiry,numbers	5	да	скажи, простое ли 79
сколько километров в # метрах?	ru_conversions	5	да	сколько километров в 5000 метрах?
чего мне не хватало во втором замере # сентября # года?	selfmeasure	5	да	чего мне не хватало во втором замере 2 сентября 2026 года?
чем проверить # ÷ # = #?	longdiv	5	да	чем проверить 252 ÷ 12 = 21?
чему равно скалярное произведение (#, #) и (#, #)?	linalg	5	да	чему равно скалярное произведение (1, 3) и (5, 7)?
# asal mıdır?	primes_langs	4	да	2 asal mıdır?
# grados {Носитель} — ¿cuánto es eso en {Носитель}?	tempscale	4	да	41 grados Fahrenheit — ¿cuánto es eso en Celsius?
# graus {Носитель} — quanto é isso em {Носитель}?	tempscale	4	да	20 graus Celsius — quanto é isso em Fahrenheit?
# sta a # come # sta a che cosa?	analog	4	да	2 sta a 6 come 5 sta a che cosa?
