# метка	FULL-19c8ae8d · читатель 0a84da47 · 400 · seed 5
es	немо	Pablo tiene 9 cartas, 5 huevos y 7 monedas. ¿cuántas cosas tiene Pablo en total?	21 cosas: 9 + 5 = 14, 14 + 7 = 21.	
de	немо	Anna hatte 78 Blumen. Anna gab 53 Blumen weg. wie viele Blumen bleiben übrig?	78 − 53 = 25. also ist die Antwort 25.	
nl	немо	Anna heeft 21 ballen, 25 pennen, 14 ballen. hoeveel dingen heeft Anna in totaal?	60 dingen: 21 + 25 = 46, 46 + 14 = 60.	
ru	немо	как читается $ \sum_{i=b}^{9} {19} $?	$ \sum_{i=b}^{9} {19} $ в словах есть сумма 19 по i от b до 9.	
de	немо	Jonas hat 20 rote Bälle und 8 blaue Bälle. wie viele Bälle hat Jonas im Ganzen?	28 Bälle: 20 + 8 = 28.	
ru	ложь	Анна имеет 38 рублей 80 копеек. сколько денег у Анны?	Анна имеет 38 рублей 80 копеек.	3880
fr	немо	Hugo avait 22 ballons. Hugo a donné 3 ballons. Hugo a 19 ballons. pourquoi ?	parce que Hugo en avait 22 et en a donné 3 : 22 − 3 = 19.	
it	немо	lunedì Marco ha messo 5 piatti sul tavolo. quanti piatti ha messo Marco sul tavolo lunedì?	5.	
es	немо	Luis tenía 16 flores. Luis dio 2 flores. Luis tiene 14 flores. ¿por qué?	porque Luis tenía 16 y dio 2: 16 − 2 = 14.	
en	верно	Hugo has 9 coins. Carla has 3 less coins than Hugo. how many coins does Carla save?	Carla saves 6 coins.	9 − 3 = 6
ru	немо	у Ани 18 яблок. у Ивана вчетверо больше яблок, чем у Ани. сколько яблок у Ивана?	4 × 18 = 72. значит ответ: 72.	
en	немо	two thirds of the players have a pen; 18 do not. how many players are there?	18 is one third of 54: 3 − 2 = 1, 18 ÷ 1 = 18, 18 × 3 = 54.	
en	верно	tara packed 5 yards. tara used 3 yards away. how many yards does tara keep?	tara keeps 2 yards: 5 − 3 = 2.	5 − 3 = 2
pt	немо	Pedro tem 15 bolas. ele deu 6 bolas. quantas lhe restam?	9 bolas: 15 − 6 = 9.	
en	верно	is the length of the vector (7, 24) a whole number?	yes: 7^2 + 24^2 = 625 = 25^2, the length is 25.	yes: 7^2 + 24^2 = 625 = 25^2, the length is 25
es	немо	Carlos tiene 18 bolígrafos. ¿es verdad?	sí, Carlos tiene 18 bolígrafos.	
en	верно	Dima had 11 balls. Dima gave 2 balls away. how many balls are left?	Dima keeps 9 balls.	11 − 2 = 9
en	немо	i am 12 years old. how old will i be in 5 years?	17 years old: 12 + 5 = 17.	
en	немо	Carla had 19 balls. Carla gave away 2 balls. Carla has 17 balls. why does Carla have 17 balls?	because Carla had 19 and gave away 2: 19 − 2 = 17.	
es	немо	Luis tiene 8 monedas. usted dijo que Luis tiene 12 monedas. ¿es cierto?	no, Luis tiene 8 monedas.	
it	немо	che cosa segue dal fatto che un numero è divisibile per 4?	se un numero è divisibile per 4, è divisibile per 2.	
ru	верно	чему равно 3 метра?	3 метра равно 300 сантиметров: 3 × 100 = 300.	3 метра равно 300 сантиметров: 3 × 100 = 300
en	немо	a driver earns 6 rubles every hour. how much does a driver earn in 6 hours?	in 6 hours a driver earns 36 rubles: 6 × 6 = 36.	
en	немо	Carla reads 5 degrees. Carla writes 3 degrees more. how many degrees does Carla own now?	Carla owns 8 degrees.	
en	верно	what is one fifth of 25?	one fifth of 25 is 5.	one fifth of 25 is 5: 25 ÷ 5 = 5, 5 × 1 = 5
it	немо	Matteo ha 40 mele. se ne dà 15, quante ne avrà?	25: 40 − 15 = 25.	
en	немо	there are twice as many adults as children. there are 57 people in all. how many adults are there?	1 + 2 = 3, 57 ÷ 3 = 19, 19 × 2 = 38. so the answer is 38.	
es	немо	Ana tiene 9 libros. ¿y Pablo?	Pablo tiene 5 libros.	
ru	ложь	Ира нашла 11 орехов. она потеряла 9 из них. сколько орехов у Иры?	11 − 9 = 2.	11 + 9 = 20
ru	немо	у Пети было 24 карты. Петя отдал 3 карты. у Пети 21 карта. почему?	потому что было 24, а отдано 3: 24 − 3 = 21.	
de	верно	was ist das Doppelte von 10?	20: 10 × 2 = 20.	20: 10 × 2 = 20
en	верно	Grace takes 7 days. Grace needs 3 days more. how many days does Grace own now?	Grace owns 10 days.	Grace owns 10 days
ru	немо	сколько лет будет Ане через 2 года?	Ане 10, значит через 2 года Ане будет 12.	
